timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/07/01 20:34:57.888, 0 %, 0 %, 8188 MiB, 9 MiB
2025/07/01 20:34:58.897, 83 %, 28 %, 8188 MiB, 1550 MiB
2025/07/01 20:34:59.898, 89 %, 25 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:00.899, 98 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:01.900, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:02.901, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:03.903, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:04.904, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:05.905, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:06.906, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:07.906, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:08.907, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:09.908, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:10.908, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:11.909, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:12.910, 99 %, 24 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:13.911, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:14.912, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:15.913, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:16.914, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:17.915, 98 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:18.917, 99 %, 23 %, 8188 MiB, 1274 MiB
2025/07/01 20:35:19.918, 99 %, 23 %, 8188 MiB, 1274 MiB
